,name,rating,review,company_type,Head_Quarters,Company_Age,No_of_Employee
1510,Asb International,4.2,(241 Reviews),Private,"Thane,Maharashtra + 8 more",24 years old,1k-5k employees (Global)
1511,NetCracker,3.3,(240 Reviews),Private,Waltham + 4 more,28 years old,1k-5k employees (India)
1512,Vidal Health Tpa,4.0,(240 Reviews),Private,Bangalore + 31 more,11 years old,501-1k employees (India)
1513,RPG Life Sciences,4.2,(240 Reviews),Public,"Mumbai,Maharashtra + 21 more",28 years old,1k-5k employees (India)
1514,Otsuka Pharmaceuti...,3.7,(240 Reviews),Private,"Chiyoda City,Tokyo + 19 more",9 years old,201-500 employees (India)
1515,National Bulk Hand...,4.2,(240 Reviews),Private,"Mumbai,Maharashtra + 53 more",18 years old,1k-5k employees (Global)
1516,Triveni Engineerin...,4.0,(239 Reviews),Public,"Mysore/Mysuru,Karnataka + 34 more",89 years old,5k-10k employees (Global)
1517,Xchanging,3.6,(239 Reviews),Public,London + 10 more,23 years old,5k-10k employees (Global)
1518,Gupta Power Infras...,3.5,(239 Reviews),Private,"Bhubaneswar,Odisha + 26 more",60 years old,501-1k employees (Global)
1519,ABP Group,3.3,(239 Reviews),"Kolkata,West Bengal + 18 more",99 years old,1k-5k employees (Global),
1520,NetConnectGlobal,3.4,(239 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 37 more",24 years old,51-200 employees (India)
1521,Ramky Enviro Engin...,4.1,(239 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 42 more",27 years old,50k-1 Lakh employees (Global)
1522,Indecomm Global Se...,3.6,(238 Reviews),Private,"Edison,New Jersey + 9 more",18 years old,1k-5k employees (India)
1523,Thriveni Earthmove...,4.0,(238 Reviews),Private,"Salem,Tamil Nadu + 15 more",30 years old,5k-10k employees (Global)
1524,Wuerth India,4.1,(238 Reviews),Private,"Mumbai,Maharashtra + 37 more",27 years old,1k-5k employees (Global)
1525,Zealous Services,3.1,(238 Reviews),Private,"Chennai,Tamil Nadu + 2 more",14 years old,1k-5k employees (Global)
1526,The Akshaya Patra ...,4.4,(238 Reviews),"Bangalore/Bengaluru,Karnataka + 42 more",21 years old,201-500 employees (India),
1527,Allied Digital Ser...,3.2,(238 Reviews),Public,"Mumbai,Maharashtra + 20 more",26 years old,1k-5k employees (India)
1528,Gujarat Heavy Chem...,4.0,(238 Reviews),Public,"Noida,Uttar Pradesh + 18 more",38 years old,1k-5k employees (India)
1529,bnp paribas india ...,4.0,(238 Reviews),Paris + 5 more,173 years old,5k-10k employees (India),
